Num	Order	Ontology ID	LABEL	Vaccine Type	Cancer Type	Parent label	Parent	Gene names	NCBI GeneID	status of vaccine development	immunizes host	definition	PubMed (original)	PubMed	other link	VIOLIN ID	VIOLIN Link	GitHub tracker	NCI link	NCT link	Term editors	JZ notes
418	167	VO:0007417	Montanide ISA-51/Survivin Peptide Vaccine		cancer vaccine	cancer vaccine	VO:0000177											https://github.com/vaccineontology/VO/issues/538			Justin Song|Penny Pan|Jie Zheng|Oliver He	
419	173	VO:0007418	MSCV-MGMT(P140K) Vaccine		cancer vaccine	cancer vaccine	VO:0000177	Gene name: MGMT	4255									https://github.com/vaccineontology/VO/issues/544			Justin Song|Penny Pan|Jie Zheng|Oliver He	
420	174	VO:0007419	MUC-1 Peptide Vaccine		cancer vaccine	cancer vaccine	VO:0000177	Gene name: MUC1	4582			"A cancer vaccine comprised of a synthetic peptide derived from the mucin 1 (MUC1) antigen with potential antineoplastic activity. Upon administration, MUC1 peptide vaccine may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against tumor cells positive for the MUC1 antigen, resulting in decreased tumor growth. Overexpressed on many tumor cells, MUC1 antigen, a mammary-type apomucin, is a high-molecular-weight transmembrane glycoprotein."						https://github.com/vaccineontology/VO/issues/545			Justin Song|Penny Pan|Jie Zheng|Oliver He	
421	176	VO:0007420	MUC-2-KLH Vaccine		cancer vaccine	cancer vaccine	VO:0000177	Gene name: MUC2	4583			"A peptide vaccine containing human mucin 2 (MUC2) protein conjugated with keyhole limpet hemocyanin (KLH), with potential antineoplastic activity. MUC2, a secretory or gel forming glycoprotein expressed predominantly in goblet cells of the gastrointestinal and respiratory tracts, is overexpressed as an aberrant or deglycosylated form in various tumors such as gastric carcinomas and some hormone-refractory prostate cancers. MUC2 protein is conjugated with KLH, an immunostimulant and a hapten carrier, to enhance immune recognition. Vaccination with MUC2-KLH may result in the production of antibodies as well as elicit a cytotoxic T- lymphocyte (CTL) response against tumor cells expressing MUC2"						https://github.com/vaccineontology/VO/issues/547			Justin Song|Penny Pan|Jie Zheng|Oliver He	
422	177	VO:0007421	MUC1 Antigen/SB AS-2 Vaccine		cancer vaccine	cancer vaccine	VO:0000177	Gene name: MUC1	4582									https://github.com/vaccineontology/VO/issues/548			Justin Song|Penny Pan|Jie Zheng|Oliver He	
423	178	VO:0007422	MUC1-KLH Conjugate Vaccine		cancer vaccine	cancer vaccine	VO:0000177	Gene name: MUC1	4582			"A peptide vaccine, containing human tumor-associated epithelial mucin (MUC1) conjugated with keyhole limpet hemocyanin (KLH), with potential antineoplastic activity. Vaccination with MUC1-KLH conjugate vaccine may stimulate humoral and cytotoxic T-lymphocyte (CTL) responses against tumor cells expressing the MUC1 antigen. In this vaccine, MUC1 antigen is conjugated with KLH, an immunostimulant and a hapten carrier, to enhance immune recognition. MUC1 antigen, a membrane-bound glycoprotein expressed by most glandular and ductal epithelial cells, is overexpressed in an aberrant or deglycosylated form in various cancers such as those of the breast, prostate, and ovary."						https://github.com/vaccineontology/VO/issues/549			Justin Song|Penny Pan|Jie Zheng|Oliver He	
424	179	VO:0007423	MUC1-KLH Vaccine/QS21		cancer vaccine	cancer vaccine	VO:0000177	Gene name: MUC1	4582			"A peptide vaccine containing the human tumor-associated antigen epithelial mucin (MUC1 antigen) conjugated with keyhole limpet hemocyanin (KLH) and combined with the nonspecific immunoadjuvant QS21, with potential antineoplastic activity. MUC1 antigen is linked with KLH, an immunostimulant and a hapten carrier, in order to enhance immune recognition; the co-administration of saponin-derived QS21 potentially amplifies the total immune response to the MUC1 antigen. Administration of MUC1-KLH vaccine/QS21 may result in both the production of antitumor antibodies and the stimulation of a cytotoxic T-lymphocyte (CTL) response against tumor cells expressing the MUC1 antigen. MUC1 antigen, a membrane-bound glycoprotein expressed by most glandular and ductal epithelial cells, is overexpressed as an aberrant or deglycosylated form in various cancers such as breast, prostate and ovarian cancers. "						https://github.com/vaccineontology/VO/issues/550			Justin Song|Penny Pan|Jie Zheng|Oliver He	
425	180	VO:0007424	MUC1-targeted Peptide GO-203-2C Vaccine		cancer vaccine	cancer vaccine	VO:0000177	Gene name: MUC1	4582									https://github.com/vaccineontology/VO/issues/551			Justin Song|Penny Pan|Jie Zheng|Oliver He	
426	181	VO:0007425	Multi-epitope Folate Receptor Alpha Peptide Vaccine		cancer vaccine	cancer vaccine	VO:0000177	Gene name: FOLR1 	2348									https://github.com/vaccineontology/VO/issues/552			Justin Song|Penny Pan|Jie Zheng|Oliver He	
427	184	VO:0007426	Multipeptide Vaccine S-588210		cancer vaccine	cancer vaccine	VO:0000177	Gene name: LY6K |Gene name: IGF2BP3	54742|10643			"A cancer vaccine composed of a combination of the injectable formulations S-488210, which contains the three HLA-A*02:01-restricted peptides up-regulated lung cancer 10 (lymphocyte antigen 6K; LY6K; URLC10), cell division cycle-associated protein 1 (kinetochore protein Nuf2; NUF2; CDCA1) and insulin-like growth factor 2 mRNA-binding protein 3 (IGF2BP3; KOC1) and S-488211, which contains the two HLA-A*02:01-restricted peptides DEP domain-containing protein 1A (DEPDC1) and M-phase phosphoprotein 1 (kinesin-like protein KIF20B; MPHOSPH1), with potential immunostimulatory and antitumor activities. Upon administration, multipeptide vaccine S-588210 may stimulate a cytotoxic T-lymphocyte (CTL) response against tumor cells expressing KOC1, CDCA1, URLC10, DEPDC1 or MPHOSPH1 peptides, resulting in tumor cell lysis and decreased tumor growth."						https://github.com/vaccineontology/VO/issues/556			Justin Song|Penny Pan|Jie Zheng|Oliver He	
428	187	VO:0007427	Mutant p53 Peptide Pulsed Dendritic Cell Vaccine		cancer vaccine	cancer vaccine	VO:0000177					"A cancer vaccine consisting of autologous dendritic cells which have been pulsed with a mutant p53 peptide. Vaccination with mutant p53 peptide pulsed dendritic cells may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against tumor cells expressing mutant p53, resulting in tumor cell lysis. Many tumor cells overexpress mutant p53 proteins, resulting in the loss of apoptosis regulation and abnormal cell proliferation. "						https://github.com/vaccineontology/VO/issues/559			Justin Song|Penny Pan|Jie Zheng|Oliver He	
429	190	VO:0007428	MVA-MUC1-IL2 Vaccine		cancer vaccine	cancer vaccine	VO:0000177	Gene name: MUC1	4582			"A bivalent cancer vaccine comprised of a modified vaccinia virus Ankara (MVA) strain encoding human mucin 1 (MUC1) and interleukin-2 (IL-2) with potential immunostimulating and antineoplastic activities. Originally developed for the eradication of smallpox, MVA is a highly attenuated and replication-defective strain incapable of virion assembly and exerts potent immunostimulatory activity against antigens. Vaccination with MVA-MUC1-IL2 vaccine may stimulate the host immune system to mount a humoral and cytotoxic T lymphocyte (CTL) responses against tumor cells expressing MUC1, a tumor associated antigen, resulting in tumor cell lysis. Expression of IL-2 augments the specific CTL response against MUC1 expressing cells."						https://github.com/vaccineontology/VO/issues/564			Justin Song|Penny Pan|Jie Zheng|Oliver He	
430	192	VO:0007429	MVF-HER-2(597-626)/MVF-HER-2 (266-296) Peptide Vaccine		cancer vaccine	cancer vaccine	VO:0000177	Gene name: ERBB2 	2064			"A combination peptide vaccine of 2 chimeric peptides of the promiscuous T cell epitope derived from measles virus fusion protein (MVF; amino acid residues 288-302) co-synthesized with B-cell epitopes derived from the HER-2/neu a.a. 597-626 and HER-2/neu a.a. 266-296, with potential antineoplastic activity. Vaccination with MVF-HER-2(597-626)/MVF-HER-2(266-296) peptide vaccine may be capable of inducing an active specific immune response, mounting a cytotoxic T-lymphocyte (CTL) response and an antibody-dependent cell-mediated cytotoxicity (ADCC) against tumor cells that overexpress the HER-2 protein. The oncogenic protein HER-2, a member of the human epidermal growth factor receptor (EGFR) family of tyrosine kinases, is overexpressed in a variety of cancers and is correlated with increased tumor growth, progression and a poor prognosis. HER-2(597-626) corresponds to the binding site of trastuzumab on the extracellular domain IV of HER-2; HER-2 (266-296) corresponds to the binding site of pertuzumab on the dimerization loop of domain II of HER-2"						https://github.com/vaccineontology/VO/issues/566			Justin Song|Penny Pan|Jie Zheng|Oliver He	
431	84	VO:0007430	Human Papilloma Virus L1 Virus-Like Particle V504 Vaccine		Cervical Cancer	cervical cancer vaccine	VO:0005488			Clinical trial	Homo sapiens	"A vaccine formulation consisting of several types of human papillomavirus (HPV)-derived noninfectious virus-like particles (VLPs) with potential immunoprophylactic activity. Upon administration, HPV L1 VLP vaccine V504 may generate humoral immunity against various HPV L. major capsid proteins, thereby preventing cervical infection upon exposure to the associated HPV types. VLPs are composed of self-assembling L. major capsid proteins or functional L. major capsid protein derivatives."						https://github.com/vaccineontology/VO/issues/450			Justin Song|Penny Pan|Jie Zheng|Oliver He	
432	112	VO:0007431	Liposomal HPV-16 E6/E7 Multipeptide Vaccine PDS0101		"cervical cancer,Oropharyngeal Carcinoma "	cancer vaccine	VO:0000177	Gene name: HPV6 E6|Gene name: E7	2829163|1489079	Clinical trial	Homo sapiens							https://github.com/vaccineontology/VO/issues/478			Justin Song|Penny Pan|Jie Zheng|Oliver He	
433	161	VO:0007432	Monoclonal Antibody 105AD7 Anti-idiotype Vaccine		"Colorectal Cancer, osteosarcoma"	cancer vaccine	VO:0000177	Gene name: CD55	1604			"A cancer vaccine consisting of a humanized monoclonal antibody that mimics a tumor-associated antigen 791Tgp72 (also known as CD55). Vaccination with this agent may stimulate a host cytotoxic T-cell response against tumor cells expressing CD55, resulting in tumor cell lysis."						https://github.com/vaccineontology/VO/issues/532			Justin Song|Penny Pan|Jie Zheng|Oliver He	
434	119	VO:0007433	LY6K/VEGFR1/VEGFR2 Multipeptide Vaccine		Esophageal Cancer	esophageal cancer vaccine	VO:0005496	Gene name: LY6K|Gene name: VEGFA	54742|7422	Clinical trial	Homo sapiens	"A multipeptide vaccine consisting of peptides derived from lymphocyte antigen 6 complex locus K (LY6K) and type I and II vascular endothelial growth factor receptors (VEGFRs) with potential antineoplastic activity. Upon administration, LY6K/VEGFR1/VEGFR2 multipeptide vaccine may elicit an antitumor cytotoxic T-lymphocyte (CTL) immune response against LY6K-expressing tumor cells and/or VEGFR-expressing vascular endothelial cells involved in tumor angiogenesis. LY6K is a tumor-associated antigen (TAA) that occurs singly in glycosylphosphatidyl-inositol (GPI)-linked cell-surface glycoproteins or as three-fold repeated domain in the urokinase-type plasminogen activator receptor; VEGFRs are cell surface receptors that stimulate endothelial cell proliferation, invasion, angiogenesis, and vasculogenesis upon ligand binding and receptor activation."						https://github.com/vaccineontology/VO/issues/486			Justin Song|Penny Pan|Jie Zheng|Oliver He	
435	23	VO:0007434	Globo H-DT Vaccine OBI-833		"Esophageal Cancer, Lung Cancer, Gastric Cancer, Breast Cancer,Colorectal Cancer"	cancer vaccine	VO:0000177	Gene name: tox1	11716682	Clinical trial	Homo sapiens	"A carbohydrate-based vaccine comprised of the Globo H hexasaccharide 1 (Globo H) antigen conjugated to DT-CRM197, a non-toxic, mutated form of diphtheria toxin (DT), with potential immunostimulating and antineoplastic activities. Upon administration of Globo H-DT vaccine OBI-833, the carbohydrate antigen Globo H may stimulate a cytotoxic T-lymphocyte (CTL) response against Globo H-expressing tumor cells, thereby decreasing tumor cell proliferation. The hexasaccharide Globo H is a tumor-associated antigen (TAA) commonly found on a variety of tumor cells. DT-CRM197, also called diphtheria toxin cross-reacting material 197, is used to increase the immunogenicity of the Globo H carbohydrate antigen."						https://github.com/vaccineontology/VO/issues/172			Justin Song|Penny Pan|Jie Zheng|Oliver He	
436	4	VO:0007435	EF-2 Peptide Vaccine		Ewing's sarcoma or primitive neuroectodermal tumors (PNET)	cancer vaccine	VO:0000177	Gene name: CD22	297374825	Clinical trial	Homo sapiens	A synthetic peptide derived from the protein ESW/FLI1 type 2 with potential use in cancer immunotherapy. EWS/FLI1 is a fusion protein frequently found in patients with Ewing's sarcoma or primitive neuroectodermal tumors (PNET). Vaccination with EF-2 peptide may stimulate the host immune response to elicit a cytotoxic T-cell response against tumor cells that express this EWS/FL1 type 2 fusion protein. (NCIT_C49064).	https://pubmed.ncbi.nlm.nih.gov/2753158/	PubMed:/2753158				https://github.com/vaccineontology/VO/issues/63			Justin Song|Penny Pan|Jie Zheng|Oliver He	
437	182	VO:0007436	Multi-glioblastoma-peptide-targeting Autologous Dendritic Cell Vaccine ICT-107		Glioblastoma	cancer vaccine	VO:0000177	Gene name: MAGEA1|Gene name: gp100	4100|6490			"A cell-based cancer vaccine composed of autologous dendritic cells (DCs) pulsed with six synthetic glioblastoma (GBM) peptides: absent in melanoma 2 (AIM-2), melanoma-associated antigen 1 (MAGE-1), tyrosinase-related protein 2 (TRP-2), glycoprotein 100 (gp100), epidermal growth factor receptor 2 (HER-2), interleukin-13 receptor subunit alpha-2 (IL-13Ra2), with potential immunostimulatory and antineoplastic activities. Mononuclear cells obtained via leukapheresis are differentiated into DCs, and pulsed with the GBM-associated peptides. Upon administration, multi-glioblastoma-peptide-targeting autologous DC vaccine ICT-107 exposes the immune system to GBM-associated antigens, which activates a specific cytotoxic T-lymphocyte (CTL) response against GBM cells. This leads to GBM cell lysis. The six peptides are derived from tumor associated antigens (TAA) expressed on GBM cells and cancer stem cells (CSCs). GBM stem-like cells contain a specific range of antigens that are essential for the neoplastic growth and survival of GBM cells"						https://github.com/vaccineontology/VO/issues/554			Justin Song|Penny Pan|Jie Zheng|Oliver He	
438	64	VO:0007437	HLA-Matched Donor Mononuclear Cell-Enriched Leukocytes Apocell vaccine		GVHD	cancer vaccine	VO:0000177	Gene name: PAEP	5047	Clinical trial	Homo sapiens	"A preparation of allogeneic HLA-matched leukocytes treated with a derivative of placental protein 14 (PP14) with potential immunomodulating activity. PP14 derivative-treated HLA-matched donor mononuclear cell-enriched leukocytes contain at least fifty-five percent early-apoptotic T cells; after infusion and when processed by recipient dendritic cells, early-apoptotic T cells may help induce a decrease in the donor effector T-cell responses against the recipient of an allogeneic hematopoietic stem cell (HSC) transplant, thereby minimizing allogeneic HSC transplant-related graft-versus-host disease (GVHD). PP14, a 162 amino acid glycosylated protein secreted by the late secretory phase endometrium, binds to T cells in a carbohydrate fashion and has been shown to induce T-cell apoptosis; maternal immune tolerance to the fetus and pregnancy-related remissions of autoimmune disease may involve PP14-induced T cell apoptosis."						https://github.com/vaccineontology/VO/issues/427			Justin Song|Penny Pan|Jie Zheng|Oliver He	
439	95	VO:0007438	IL-12-expressing Mesenchymal Stem Cell Vaccine GX-051		Head and Neck Cancer	head and neck cancer vaccine 	VO:0005497			Clinical trial	Homo sapiens	"Human mesenchymal stem cells (MSCs) transduced with a retroviral vector encoding a modified form of the cytokine interleukin-12 (IL-12), with potential immunomodulating and antineoplastic activities. Upon intratumoral administration, IL-12-expressing MSC vaccine GX-051 secretes IL-12. IL-12 activates the immune system by both promoting the secretion of interferon-gamma, which activates natural killer cells (NKs), and inducing cytotoxic T-cell responses, which may result in both decreased cell proliferation and increased cell death in tumor cells. "						https://github.com/vaccineontology/VO/issues/461			Justin Song|Penny Pan|Jie Zheng|Oliver He	
440	158	VO:0007439	MiHA-loaded PD-L1/L2-silenced Dendritic Cell Vaccine		Hematological Malignancies	cancer vaccine	VO:0000177	Gene name: PDCD1	5133			"A dendritic cell (DC)-based vaccine composed of program death ligands 1 and 2 (PDL1/L2)-silenced DCs and loaded with the recipient's minor histocompatibility antigens (MiHA), with potential use for graft-versus-tumor (GVT) induction following allogeneic stem cell transplantation (allo-SCT). Donor DCs are electroporated ex vivo with MiHA mRNA and small interfering RNAs (siRNAs) designed to silence the expression of PD L1/L2. After allo-SCT and upon intravenous administration of the MiHA-loaded PD-L1/L2-silenced DC vaccine, the DCs induce the expansion and activation of MiHA-specific CD8-positive T-cells. These tumor antigen-reactive T-cells exert their GVT effect by killing miHA-positive tumor cells. PD-L1/L2, co-inhibitory ligands expressed on DCs, play key roles in preventing MiHA-specific CD8-positive T-cell expansion; silencing enhances MiHA-specific CD8-positive T-cell expansion and activity and improves the GVT effect. The MiHA are human leukocyte antigen (HLA)-bound peptides and are exclusively expressed by the recipient's hematopoietic tumor cells."						https://github.com/vaccineontology/VO/issues/528			Justin Song|Penny Pan|Jie Zheng|Oliver He	
441	48	VO:0007440	HCV DNA Vaccine INO-8000		hepatocellular carcinoma	hepatocellular carcinoma vaccine	VO:0005499	Gene name: KRAS	3845	Clinical trial	Homo sapiens	"A multi-antigen DNA vaccine consisting of plasmids encoding the hepatitis C virus (HCV) nonstructural proteins 3 (NS3), 4A (NS4A), 4B (NS4B) and 5A (NS5A), with potential immunomodulating and cancer preventive activities. Administered via intramuscular injection followed by electroporation, cells transfected with the HCV DNA vaccine INO-8000 express the encoded HCV proteins, which may elicit a cytotoxic T-lymphocyte (CTL) response against HCV-infected liver cells expressing the NS3, NS4A, NS4B or NS5A proteins. This results in the eradication of HCV-infected cells. HCV, a small, enveloped, single-stranded RNA virus belonging to the Flaviviridae family, is associated with the development of hepatocellular carcinoma (HCC)"						https://github.com/vaccineontology/VO/issues/304			Justin Song|Penny Pan|Jie Zheng|Oliver He	
442	189	VO:0007441	MVA-FCU1 TG4023 Vaccine		Hepatocellular Carcinoma	hepatocellular carcinoma vaccine	VO:0005499					" A cancer vaccine comprised of a recombinant modified vaccinia Ankara (MVA) viral vector encoding the suicide gene FCU1 with potential antineoplastic activity. FCU1 is a bifunctional yeast cytosine deaminase (CD) / uracil phosphoribosyltransferase (UPRT) fusion gene. Upon intratumoral administration, MVA-FCU1TG4023 enters tumor cells where FCU1 is expressed. Subsequently, the noncytotoxic prodrug 5-fluorocytosine (5-FC) is administered systemically and is deaminated by CD in FCU1- transduced tumor cells into 5-fluorouracil (5-FU), which is then directly metabolized to 5-fluoro-uridine monophosphate (5-FUMP) by UPRT; 5-FUMP may then be further transformed to 5-fluoro-deoxyuridine monophosphate (5-FdUMP), an irreversible inhibitor of thymidylate synthase and, so, DNA synthesis through deprivation of deoxythymidine triphosphate (dTTP). 5-FU and its active metabolites may then selectively kill tumor cells, avoiding toxicity in nonmalignant cells. The MVA viral vector, derived from the replication-competent strain Ankara, is a highly attenuated, replication-defective vaccinia strain incapable of virion assembly"						https://github.com/vaccineontology/VO/issues/563			Justin Song|Penny Pan|Jie Zheng|Oliver He	
443	52	VO:0007442	HIVgP160 Vaccine		HIV	cancer vaccine	VO:0000177	Gene name: env	155971	Clinical trial	Homo sapiens	A synthetic HIV vaccine based on a recombinant canary pox virus vector expressing the human immunodeficiency virus (HIV) glycoprotein gp160. HIVgP160 vaccine has been used to generate in vivo primary T lymphocyte response against HIV antigens.						https://github.com/vaccineontology/VO/issues/308			Justin Song|Penny Pan|Jie Zheng|Oliver He	
444	66	VO:0007443	HPV 16 E6 (18-26) Peptide vaccine		HPV associated cancer	cancer vaccine	VO:0000177	Gene name: E6	1489078	Clinical trial	Homo sapiens	"A peptide derived from the oncogenic human papillomavirus (HPV) early gene product E6. The HPV 16 transforming protein E6 is expressed in precancerous and malignant cervical lesions and has a high affinity for the most common human lymphocyte antigen (HLA), HLA-A2. Immunogenic peptides from the HPV 16 E6 may be used to trigger a T-cell-mediated immune response to HPV."						https://github.com/vaccineontology/VO/issues/429			Justin Song|Penny Pan|Jie Zheng|Oliver He	
445	68	VO:0007444	HPV 16 E7:86-93 Peptide Vaccine		HPV associated cancer	cancer vaccine	VO:0000177	Gene name: E7	1489079	Clinical trial	Homo sapiens	"A synthetic peptide vaccine consisting of amino acids 86 through 93 (TLGIVCPI) of the viral oncoprotein human papillomavirus (HPV) 16 E7. Vaccination with HPV-16 E7:86-93 peptide, which binds to HLA-A* 0201 molecule, may stimulate the host immune system to mount a cytotoxic T-lymphocyte (CTL) response against tumor cells positive for HPV-16 E7."						https://github.com/vaccineontology/VO/issues/431			Justin Song|Penny Pan|Jie Zheng|Oliver He	
446	69	VO:0007445	HPV 16 L1-VLP vaccine		HPV associated cancer	cancer vaccine	VO:0000177	Gene name: L1	25479185	Clinical trial	Homo sapiens	"A vaccine consisting of human papillomavirus-derived noninfectious virus-like particles (VLPs), containing the L. major capsid protein. Vaccination with HPV 16 L1-VLP results in increases in T cell-proliferative response to HPV 16 L1-VLP, as well as significant increases in cytokine (interferon-gamma, interleukin-5 and -10) responses to L1 VLP. This agent may reduce the incidence of persistent HPV-16 infection, which may be responsible for half of all cases of cervical cancer including high-grade cervical intraepithelial neoplasia."						https://github.com/vaccineontology/VO/issues/432			Justin Song|Penny Pan|Jie Zheng|Oliver He	
447	70	VO:0007446	HPV 18 E6:13-21 Peptide vaccine		HPV associated cancer	cancer vaccine	VO:0000177			Clinical trial	Homo sapiens	"A synthetic peptide vaccine consisting of amino acids 13 through 21 of the viral oncoprotein human papillomavirus (HPV) 18 E6. The HPV 18E6 peptide cross-reacts immunologically with both HPV type 16 and HPV type 18, the most common HPV types involved in cervical cancer. Vaccination with HPV-18 E6:13-21 peptide may stimulate the host immune system to mount a cytotoxic T-lymphocyte (CTL) response against tumor cells positive for HPV 16 and 18."						https://github.com/vaccineontology/VO/issues/433			Justin Song|Penny Pan|Jie Zheng|Oliver He	
448	71	VO:0007447	HPV 18 L1-VLP vaccine		HPV associated cancer	cancer vaccine	VO:0000177			Clinical trial	Homo sapiens	"Noninfectious, synthetic, virus-like particles (VLP) containing the major viral capsid protein, L1, of the human papillomavirus type 18 with potential immunoprotective activity. Vaccination with HPV 18 L1-VLP may stimulate the host immune system to mount cytotoxic T lymphocyte (CTL) response against cells positive for HPV 18, thereby preventing cervical infection upon exposure to HPV type 18. "						https://github.com/vaccineontology/VO/issues/434			Justin Song|Penny Pan|Jie Zheng|Oliver He	
449	72	VO:0007448	HPV DNA Plasmids Therapeutic Vaccine VGX-3100		HPV associated cancer	cancer vaccine	VO:0000177	Gene name: E6|Gene name: E7	1489078|1489079	Clinical trial	Homo sapiens	"A DNA vaccine consisting of plasmids encoding the E6 and E7 genes of human papilloma virus (HPV) subtypes 16 and 18, respectively, with potential immunostimulating and antineoplastic activities. Administered via intramuscular electroporation, HPV DNA plasmids therapeutic vaccine VGX-3100 expresses E6 and E7 proteins, which may elicit a cytotoxic T-lymphocyte (CTL) response against cervical cancer cells expressing E6 and E7 proteins, resulting in tumor cell lysis. HPV type 16 and HPV type 18 are the most common HPV types involved in cervical carcinogenesis."						https://github.com/vaccineontology/VO/issues/435			Justin Song|Penny Pan|Jie Zheng|Oliver He	
450	74	VO:0007449	HPV-11 Vaccine		HPV associated cancer	cancer vaccine	VO:0000177			Clinical trial	Homo sapiens	A vaccine directed against Human Papillomavirus Type 11 that causes majority of the genital warts and anogenital cancers.						https://github.com/vaccineontology/VO/issues/437			Justin Song|Penny Pan|Jie Zheng|Oliver He	
451	85	VO:0007450	Human Papillomavirus 16 E7 Peptide/Padre 965.10 Vaccine		HPV associated cancer	cancer vaccine	VO:0000177	Gene name: E7	1489079	Clinical trial	Homo sapiens	"A synthetic agent derived from human papillomavirus (HPV) E7 nuclear protein which is used to produce vaccines against HPV infection and HPV-related neoplasms. HPV E7 oncogenic protein binds the retinoblastoma tumor suppressor protein, pRB, as well as a number of other cellular proteins, and serves as a transcriptional activator. This protein is important in the induction and maintenance of cellular transformation and is co-expressed in the majority of HPV-containing carcinomas. PADRE(R) is a proprietary family of molecules that enhances the immune systems response against an administered immunogen such as the HPV E7 nuclear protein."						https://github.com/vaccineontology/VO/issues/451			Justin Song|Penny Pan|Jie Zheng|Oliver He	
452	86	VO:0007451	Human Papillomavirus 16/18 L1 Virus-Like Particle/AS04 Vaccine		HPV associated cancer	cancer vaccine	VO:0000177			Clinical trial	Homo sapiens	"A recombinant, bivalent, human papillomavirus (HPV) vaccine, containing virus-like particles for HPV types 16 and 18 linked to the adjuvant ASO4, with potential immunoprotective and antineoplastic properties. Upon administration, HPV 16/18 L1 virus-like particle/ASO4 vaccine may generate humoral and cellular immunity against HPV types-16 and -18 antigens, thereby preventing cervical infection upon exposure to HPV types 16 and 18. In addition, this agent may stimulate an antitumoral cellular immune response against cervical cancer associated with HPV infection."						https://github.com/vaccineontology/VO/issues/452			Justin Song|Penny Pan|Jie Zheng|Oliver He	
453	87	VO:0007452	Human Papillomavirus Tumor Antigen Vaccine		HPV associated cancer	cancer vaccine	VO:0000177	Gene name: E6|Gene name: E7	1489078|1489079	Clinical trial	Homo sapiens	"A vaccinia viral based vaccine, encoding epitopes of E6 and E7 proteins from human papillomavirus (HPV) types 16 and 18, with immunostimulatory and antineoplastic activities. HPV types 16 and 18 account for approximately 70% of cervical cancers. Vaccination with this HPV-TA (tumor antigen) vaccine may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against tumor cells positive for E6 and E7 from either type 16 or 18 HPV, resulting in decreased tumor growth."						https://github.com/vaccineontology/VO/issues/453			Justin Song|Penny Pan|Jie Zheng|Oliver He	
454	88	VO:0007453	Human Papillomavirus Vaccine V503		HPV associated cancer	cancer vaccine	VO:0000177	Gene name: major capsid protein L1		Clinical trial	Homo sapiens	"A vaccine consisting of noninfectious, recombinant virus-like particles (VLP) containing the major viral capsid protein L1 of nine strains of human papillomavirus (HPV), with potential immunoprotective activity. Vaccination with HPV V503 may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against cells positive for any of these nine strains of HPV, thereby preventing cervical infection upon exposure to certain HPV subtypes."						https://github.com/vaccineontology/VO/issues/454			Justin Song|Penny Pan|Jie Zheng|Oliver He	
455	67	VO:0007454	HPV 16 E7:12-20 Peptide Vaccine		"HPV associated cancer, melanoma"	cancer vaccine	VO:0000177	Gene name: E7	1489079	Clinical trial	Homo sapiens	"A peptide based vaccine consisting of amino acids 12 through 20 of the E7 gene of the Human Papilloma Virus type 16. HPV-16 E7 12-20 peptide vaccine may elicit a specific CD8 T-cell response to the E7 oncogene protein, thereby inhibiting the abrogation of p53 and pRb function and thus prevent tumorigenesis."						https://github.com/vaccineontology/VO/issues/430			Justin Song|Penny Pan|Jie Zheng|Oliver He	
456	73	VO:0007455	HPV E6/E7 DNA Vaccine GX-188E		"HPV associated cancer,Cervical Intraepithelial Neoplasia "	cancer vaccine	VO:0000177	Gene name: E6|Gene name: E7	1489078|1489079	Clinical trial	Homo sapiens	"A therapeutic DNA vaccine encoding the E6/E7 fusion protein of human papillomavirus (HPV) subtypes 16 and 18, plus the immune-enhancer, Fms-like tyrosine kinase-3 ligand (FLT3L), with potential immunostimulating and antineoplastic activities. DNA vaccine GX-188E is administered using a proprietary delivery system that electroporates the vaccine into cervical cells. Expression of the E6/E7 fusion product may elicit a cytotoxic T-lymphocyte (CTL) response against cervical cancer cells expressing E6 and E7 oncoproteins, resulting in tumor cell lysis. FLT3L is a ligand for the FLT3 tyrosine kinase receptor, which upon activation stimulates the proliferation of hematopoietic progenitor cells. HPV type 16 and 18 are the most common HPV types involved in cervical carcinogenesis"						https://github.com/vaccineontology/VO/issues/436			Justin Song|Penny Pan|Jie Zheng|Oliver He	
457	89	VO:0007456	Human Prostate-Specific Membrane Antigen Plasmid DNA Vaccine		Kidney Cancer	renal cancer vaccine	VO:0005494	Gene name: Prostate-specific membrane antigen	2346	Clinical trial	Homo sapiens	"A vaccine consisting of a plasmid DNA encoding the human prostate-specific membrane antigen (PSMA). Upon administration, expressed PSMA may stimulate a cytotoxic T cell response against tumor cells that express this antigen, resulting in tumor cell lysis."						https://github.com/vaccineontology/VO/issues/455			Justin Song|Penny Pan|Jie Zheng|Oliver He	
458	169	VO:0007457	Mouse Prostate-Specific Membrane Antigen Plasmid DNA Vaccine		Kidney Cancer	renal cancer vaccine	VO:0005494					"A vaccine consisting of a plasmid DNA encoding the murine prostate-specific membrane antigen (PSMA). Upon administration, expressed PSMA may stimulate a cytotoxic T cell response against tumor cells that express PSMA, resulting in tumor cell lysis"						https://github.com/vaccineontology/VO/issues/540			Justin Song|Penny Pan|Jie Zheng|Oliver He	
